intid,main_street,cross_street,main_suffix,cross_suffix,cross_prefix,main_prefix,longitude,latitude
     154647662,REHL,REHL,RD,CT,W, ,-85.5104438408495,38.2058866080932
     254646551,REHL,TUCKER STATION,RD,RD, , ,-85.5281688285298,38.2003756125524
     354646551,REHL,TUCKER STATION,RD,RD, , ,-85.5284187233516,38.2003603490571
     431949996,I 64 EAST,I 265 RAMP, , , , ,-85.5049541455467,38.2226034405515
     593499996,I 265 NORTH,I 265 RAMP, , , , ,-85.5055464281567,38.2221272887276
     631949997,I 64 EAST,I 64 RAMP, , , , ,-85.5005849192481,38.2224599743297
     793499997,I 265 NORTH,I 64 RAMP, , , , ,-85.5058678678184,38.2187711507476
     831949996,I 64 EAST,I 265 RAMP, , , , ,-85.5107810600406,38.2227914286311
     999539996,I 265 SOUTH,I 265 RAMP, , , , ,-85.5061175227984,38.2188151513602
    1031949997,I 64 EAST,I 64 RAMP, , , , ,-85.5062743014147,38.2226481154609
    1199539997,I 265 SOUTH,I 64 RAMP, , , , ,-85.5058010138206,38.2221034385713
    1286899929,DOMINICK MICHAEL,ENGLISH STATION,DR,RD,S, ,-85.4839657674848,38.2144230030449
    138689D412,DOMINICK MICHAEL,CALVARY,DR,CT, , ,-85.4879400436971,38.2130467548267
    1454649929,REHL,ENGLISH STATION,RD,RD,S, ,-85.4849453243706,38.2079572283897
    1554646064,REHL,POPE LICK,RD,RD,S, ,-85.4904113332916,38.2048111573217
    1618518526,ECHO,FLOYDSVIEW,TRL,PL, , ,-85.4673860546444,38.2110376789197
    1718519929,ECHO,ENGLISH STATION,TRL,RD,S, ,-85.477283620404,38.1991283756895
    1877189929,OXFORD STATION,ENGLISH STATION,LN,RD,S, ,-85.4933064691653,38.2210978127031
    2051229929,POPLAR,ENGLISH STATION,LN,RD,S, ,-85.4921676595663,38.2181284496209
    2151227720,POPLAR,OLD POPLAR,LN,LN, , ,-85.5034486018582,38.2173492632232
    2271789984,WIBBLE HILL,BECKLEY STATION,RD,RD,S, ,-85.4779918616994,38.2187244831627
    2371789929,WIBBLE HILL,ENGLISH STATION,RD,RD,S, ,-85.4845792715792,38.2156271890177
    2493499996,I 265 NORTH,I 265 RAMP, , , , ,-85.5051030448148,38.2267390933416
    2599549996,I 64 WEST,I 265 RAMP, , , , ,-85.5005358507994,38.2227188206923
    2693499997,I 265 NORTH,I 64 RAMP, , , , ,-85.5054302156215,38.2234352476429
    2799549997,I 64 WEST,I 64 RAMP, , , , ,-85.5047582771067,38.2228525349612
    289063D019,NELSON MILLER,EASTPOINT,PKY,PKY, , ,-85.5070984088874,38.2717073773862
    299893D019,WILLIAMSON,EASTPOINT,CT,PKY, , ,-85.5053841256247,38.2715901632655
    3090639700,NELSON MILLER,MAGISTERIAL,PKY,DR, , ,-85.506747051082,38.2689224924676
    3200329983,AIKEN,BECKLEY STATION,RD,RD,N, ,-85.4768319152743,38.2687779585517
    3300329877,AIKEN,FOREST POINTE,RD,LN, , ,-85.4737249381806,38.2675600059868
    3586418985,ARNOLD PALMER,CLEARLAKE,BLVD,PL, , ,-85.4874098758179,38.2616306727268
    4020249846,ISLEWORTH,ISLEWORTH,CT,DR, , ,-85.4907014167279,38.260663577058
    4386418986,ARNOLD PALMER,ASHGROVE,BLVD,PL, , ,-85.4872034856465,38.260377221453
    4598549868,WINDING CREEK,TREELINE,PL,CT, , ,-85.4932378054827,38.2603250808303
    4800328987,AIKEN,OAKHURST,RD,RD, , ,-85.4961790961107,38.2598358005109
    4989879917,OAKHURST,HIDDEN HILL,RD,CT, , ,-85.4956334076343,38.2592425083378
    5098549866,WINDING CREEK,WINDING CREEK,PL,CT, , ,-85.4934728146716,38.259124526045
    5289879846,OAKHURST,ISLEWORTH,RD,DR, , ,-85.4915938020353,38.2591018613418
    5386418987,ARNOLD PALMER,OAKHURST,BLVD,RD, , ,-85.4871310433038,38.2597794775909
    5689908991,GOLDEN LEAF,GOLDEN LEAF,WAY,PL, , ,-85.4814917475668,38.2587585907653
    5789918992,GOLDEN LEAF,WOOD THRUSH,PL,TRCE, , ,-85.4828897940264,38.2587217525887
    6089879847,OAKHURST,GLENLAKE,RD,WAY, , ,-85.4923572424899,38.258632115786
    6189879867,OAKHURST,LAKE BLUFF,RD,CIR, , ,-85.4947908886311,38.2584507850873
    6289879867,OAKHURST,LAKE BLUFF,RD,CIR, , ,-85.4930068045954,38.2583010613769
    6389879854,OAKHURST,WINDING CREEK,RD,PL, , ,-85.4934959639539,38.2581881502021
    6486418988,ARNOLD PALMER,CHAMPION WOODS,BLVD,PL, , ,-85.48679982058,38.2591461123228
    6689898990,FOREST OAKS,GOLDEN LEAF,DR,WAY, , ,-85.4787710146101,38.2579642069516
    6889899072,FOREST OAKS,MAJESTIC WOODS,DR,PL, , ,-85.4780085455396,38.257945384387
    6910209867,FOREST GLENN,LAKE BLUFF,CT,CIR, , ,-85.495369117496,38.2577181511931
    7289899071,FOREST OAKS,GREENSBROOK,DR,PL, , ,-85.4774942630394,38.2575264947503
    7326819867,LAKE BLUFF,LAKE BLUFF,PL,CIR, , ,-85.4929384004997,38.2573060146711
    7626829867,CLEAR MEADOW,LAKE BLUFF,CT,CIR, , ,-85.4949163988751,38.2568837387894
    7989899070,FOREST OAKS,WHISPERWOOD,DR,TRCE, , ,-85.4802735984744,38.2561579970536
    8026826792,CLEAR MEADOW,CLEAR MEADOW,CT,PL, , ,-85.4949910883059,38.2560088610846
    8186418989,ARNOLD PALMER,FOREST OAKS,BLVD,DR, , ,-85.4852830254648,38.2575357816168
    8289899073,FOREST OAKS,WINTERBRANCH,DR,WAY, , ,-85.4770514271096,38.2561755549498
    8400320235,AIKEN,AVOCA,RD,RD, , ,-85.5033004136818,38.2556412507813
    8794889746,WOODLAND RIDGE,WOODLAND HEIGHTS,DR,DR, , ,-85.4891842305013,38.2546999742457
    8941154532,MACKINAW,NASSAU,DR,LN, , ,-85.5220602528821,38.2540076411737
    9045325790,NASSAU,ST CLAIR,LN,DR, , ,-85.5198747638408,38.2538292292762
    9394889489,WOODLAND RIDGE,WOODLAND RIDGE,DR,CT, , ,-85.4866414267574,38.2541143384465
    9486419488,ARNOLD PALMER,WOODLAND RIDGE,BLVD,DR, , ,-85.4858943973148,38.2541407826706
    9776308641,LAKE FOREST,ARNOLD PALMER,PKY,BLVD, , ,-85.4855809004155,38.2533445109183
    9876308655,LAKE FOREST,FAWN HILL,PKY,PL, , ,-85.4844404723122,38.2532765851695
   10176308736,LAKE FOREST,FOREST CREEK,PKY,WAY, , ,-85.4837324664985,38.2530370749704
   10389679746,BRIDGECREEK,WOODLAND HEIGHTS,RD,DR, , ,-85.4925308205721,38.2528482877017
   10494889746,WOODLAND RIDGE,WOODLAND HEIGHTS,DR,DR, , ,-85.4909111052265,38.2528621984607
   10776308774,LAKE FOREST,WOODSTREAM,PKY,PL, , ,-85.4832251085824,38.2525898164968
   10905025790,BERMUDA,ST CLAIR,WAY,DR, , ,-85.5232840691358,38.2519258512951
   11087488967,WILLOW GROVE,BRIDGECREEK,CIR,RD, , ,-85.4927718094408,38.2522268721491
   11187489234,WILLOW GROVE,HICKORY RIDGE,CIR,RD, , ,-85.4945365489384,38.2519677835009
   11376308775,LAKE FOREST,DEERCROSS,PKY,PL, , ,-85.483031589252,38.2520889522928
   11487758776,DEERCROSS,DEERCROSS,PL,CT, , ,-85.4842508421085,38.2517243820709
   11576308642,LAKE FOREST,MAPLE RIDGE,PKY,PL, , ,-85.4866881963358,38.2516455623931
   11706879722,BRINLEY,DONALD NEWTON,AVE,LN, , ,-85.5296994391371,38.2516985970624
   12085629232,BROAD OAK,BROAD OAK,PL,TRCE, , ,-85.4892260790309,38.2514375810811
   12157907307,ST CLAIR,WOODVIEW,DR,CIR, , ,-85.5262623099699,38.2510177996938
   12500725790,ALLISON,ST CLAIR,RD,DR, , ,-85.5286417176243,38.2508156697333
   12977327733,EASTGATE VILLAGE,CRYSTAL,PL,CV, , ,-85.5186625307567,38.2502017118829
   13384128566,WOODLAKE,WOODLAKE,DR,TRCE, , ,-85.4811656912973,38.2504919521603
   13508922437,AQUARIUS,TAURUS,RD,PL, , ,-85.5255032637517,38.249935994334
   13946749409,WELKER,ENGLISH STATION,WAY,RD,N, ,-85.5121863765355,38.2497306085832
   14076308927,LAKE FOREST,WOODBLUFF,PKY,TRCE, , ,-85.4853994549455,38.2499460541102
   14133509346,JOHNSON,JOHNSON FARM,RD,RD, , ,-85.458195842083,38.2520693376837
   14233507555,JOHNSON,PIERCY MILL,RD,RD, , ,-85.4588902118887,38.2501093132426
   14305020892,BERMUDA,AQUARIUS,WAY,RD, , ,-85.5244593373218,38.2493885247783
   14536474082,DAVIS,KOHLER,CT,DR, , ,-85.5238368289556,38.249140084749
   14605023683,BERMUDA,GEMINI,WAY,WAY, , ,-85.5248058366147,38.2489414780393
   14700329409,AIKEN,ENGLISH STATION,RD,RD,N, ,-85.5119091042056,38.2489552963007
   14936313647,CONLEY,DAVIS,CT,CT, , ,-85.5228161142868,38.2487974595162
   15036313647,CONLEY,DAVIS,CT,CT, , ,-85.5229364319771,38.2486584914484
   15136834082,GEMINI,KOHLER,WAY,DR, , ,-85.5242932373745,38.2486054190288
   15236834077,GEMINI,JUNEAU,WAY,DR, , ,-85.5237110818407,38.2482992097115
   15436473683,DAVIS,GEMINI,CT,WAY, , ,-85.5222885660934,38.2479801852746
   15540777608,JUNEAU,TRISTA,DR,DR, , ,-85.5240181762912,38.2479385017532
   15640774953,JUNEAU,BROTHERS,DR,AVE, , ,-85.5242173577518,38.2477044405893
   15859409922,SHELBYVILLE,MIDDLETOWN PARK,RD,PL, , ,-85.5289660958483,38.2476303050733
   15959409922,SHELBYVILLE,MIDDLETOWN PARK,RD,PL, , ,-85.5283653514644,38.2473321320738
   16233509346,JOHNSON,JOHNSON FARM,RD,RD, , ,-85.4591391164599,38.2476718485555
   16340775940,JUNEAU,SHELBYVILLE,DR,RD, , ,-85.5261894589444,38.2462773314475
   16568999589,VALE,EASTBRIDGE,RD,CT, , ,-85.5191883753285,38.2456919478654
