X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
-85.4993371456453,38.2706320923916,1,MPW017206,SIG017206,OLD HENRY,I 265 RAMP,S,KY-3084,1.25,OLD HENRY @ I 265 RAMP,24 HOURS,KYTC,1,   76747569996,
-85.4984789574179,38.2415894728279,2,MPW017211,SIG017211,SHELBYVILLE,BECKLEY WOODS,S,US 60,12.291,SHELBYVILLE @ BECKLEY WOODS,24 HOURS,KYTC,1,   78959406728,
-85.4935498603372,38.2405172324361,3,MPW017290,SIG017290,SHELBYVILLE,LAKE FOREST,S,US-60,12.58,SHELBYVILLE @ LAKE FOREST,24 HOURS,KYTC,1,  123759407630,
-85.5702122827241,38.3110020720272,4,MPW015159,SIG015159,BROWNSBORO,I 265 RAMP,S,KY-22,3.7,BROWNSBORO @ I 265 RAMP,24 HOURS,KYTC,1,  143907249996,
-85.6279652674758,38.2839160242102,5,MPW011726,SIG011726,HERR,LIME KILN,S,KY-22,0.44,HERR @ LIME KILN,24 HOURS,KYTC,1,  184229013860,
-85.632499478084,38.2838889828842,6,MPW011500,SIG011500,U S HIGHWAY 42,HOLIDAY MANOR,S,US-42,6.13,U S HIGHWAY 42 @ HOLIDAY MANOR,24 HOURS,KYTC,1,  187067127686,
-85.6038126973631,38.2586739353754,7,MPW013156,SIG013156,LYNDON,NEW LA GRANGE,S,KY-146,0.98,LYNDON @ NEW LA GRANGE,24 HOURS,KYTC,1,  235327744625,
-85.6300103645926,38.2508229915511,8,MPW011581,SIG011581,BRAMTON,SHELBYVILLE,S,US-60,4.95,BRAMTON @ SHELBYVILLE,24 HOURS,KYTC,1,  262606465940,
-85.6281977328899,38.2506927303934,9,MPW011670,SIG011670,STONEHENGE,SHELBYVILLE,S,US-60,5.05,STONEHENGE @ SHELBYVILLE,24 HOURS,KYTC,1,  263000555940,
-85.6362346896495,38.2513489029286,10,MPW011296,SIG011296,FAIRMEADE,SHELBYVILLE,S,US-60,4.61,FAIRMEADE @ SHELBYVILLE,24 HOURS,KYTC,1,  264621205940,
-85.6684598740601,38.2228824001095,11,MPW009450,SIG009450,BON AIR,PEE WEE REESE,S,KY-155,15.652,BON AIR @ PEE WEE REESE,24 HOURS,KYTC,1,  312405959397,
-85.6187078465652,38.2229192941313,12,MPW012210,SIG012210,BROWNS,LOWE,M,,,BROWNS @ LOWE,24 HOURS,METRO,1,  313107233967,
-85.6279772783086,38.2199841167013,13,MPW011654,SIG011654,TAYLORSVILLE,YORKSHIRE,S,KY-155,13.442,TAYLORSVILLE @ YORKSHIRE,24 HOURS,KYTC,1,  318763947434,
-85.6257853534856,38.2198410700859,14,MPW011780,SIG011780,BROWNS,HIKES,S,KY-155,13.314,BROWNS @ HIKES,24 HOURS,KYTC,1,  319207232930,
-85.672352830643,38.2126110023436,15,MPW009242,SIG009242,BARDSTOWN,GARDINER,S,US-31E,12.133,BARDSTOWN @ GARDINER,24 HOURS,KYTC,1,  338103842479,
-85.6021268254048,38.2954261781982,16,MPW013311,SIG013311,BROWNSBORO,BARBOUR,S,KY-22,1.71,BROWNSBORO @ BARBOUR,24 HOURS,KYTC,1,  428707248262,
-85.5745836336179,38.2629596737917,17,MPW014859,SIG014859,ORMSBY STATION,HURSTBOURNE,S,KY-1747,14.76,ORMSBY STATION @ HURSTBOURNE,24 HOURS,KYTC,1,  448089749125,
-85.6347289958909,38.281357006173,18,MPW011392,SIG011392,BROWNSBORO,NORTHFIELD,S,US-42,5.92,BROWNSBORO @ NORTHFIELD,24 HOURS,KYTC,1,  459007243105,
-85.5388990604605,38.2169272396906,19,MPW016351,SIG016351,BLUEGRASS,BLANKENBAKER,S,KY-913,2.26,BLUEGRASS @ BLANKENBAKER,24 HOURS,KYTC,1,  487305747624,
-85.5974552560227,38.2181939846279,20,MPW013501,SIG013501,BLOWING TREE,TAYLORSVILLE,S,KY-155,11.79,BLOWING TREE @ TAYLORSVILLE,24 HOURS,KYTC,1,  591905636394,
-85.5396137968783,38.2252064732745,21,MPW016337,SIG016337,BLANKENBAKER,I 64 RAMP,S,KY-913,2.85,BLANKENBAKER @ I 64 RAMP,24 HOURS,KYTC,1,  515176249997,
-85.6553934067078,38.2529051290944,22,MPW010182,SIG010182,BRECKENRIDGE,CHENOWETH,S,US-60,3.54,BRECKENRIDGE @ CHENOWETH,24 HOURS,KYTC,1,  518306561093,
-85.5926897069294,38.1985097078514,23,MPW013764,SIG013764,SIX MILE,STONY BROOK,M,,,SIX MILE @ STONY BROOK,24 HOURS,METRO,1,  573360058946,
-85.603079975087,38.1985766287947,24,MPW013130,SIG013130,SIX MILE,HURSTBOURNE,S,KY-1747,9.58,SIX MILE @ HURSTBOURNE,24 HOURS,KYTC,1,  575160059126,
-85.6340909945321,38.2242058420151,25,MPW011371,SIG011371,DEEBET,HILLBROOK,S,KY-1932,3.21,DEEBET @ HILLBROOK,24 HOURS,KYTC,1,  622916302765,
-85.5754815884516,38.2286444424675,26,MPW014758,SIG014758,TIMBERWOOD,LINN STATION,JT,,,TIMBERWOOD @ LINN STATION,24 HOURS,JEFFERSONTOWN,1,  658524454096,
-85.5776806133692,38.2269582112614,27,MPW014632,SIG014632,HURSTBOURNE,BLAIRWOOD,S,KY-1747,12.16,HURSTBOURNE @ BLAIRWOOD,24 HOURS,KYTC,1,670491260875,
-85.5781061553905,38.2253307277049,28,MPW014608,SIG014608,BLAIRWOOD ACCESS,HURSTBOURNE,S,KY-146,7.847,BLAIRWOOD ACCESS @ HURSTBOURNE,24 HOURS,KYTC,1,6711D2639126,
-85.5760352213046,38.3038480288341,29,MPW014813,SIG014813,SPRINGHURST,SPRINGBROOKE,S,KY-1747,18.27,SPRINGHURST @ SPRINGBROOKE,24 HOURS,KYTC,1,  705491239124,
-85.5753866887699,38.3069568751965,30,MPW014860,SIG014860,BROWNSBORO,SUMMIT PLAZA,S,KY-22,3.47,BROWNSBORO @ SUMMIT PLAZA,24 HOURS,KYTC,1,  72110724D626,
-85.5614042823562,38.3155608849372,31,MPW015642,SIG015642,BALLARDSVILLE,NEW CHAMBERLAIN,S,KY-22,4.42,BALLARDSVILLE @ NEW CHAMBERLAIN,24 HOURS,KYTC,1,  77720364D473,
-85.6675781118941,38.2013493133522,32,MPW009466,SIG009466,ADELE,BASHFORD MANOR,M,,,ADELE @ BASHFORD MANOR,24 HOURS,METRO,1,  778802760404,
-85.6702936778536,38.1999547388388,33,MPW009330,SIG009330,BASHFORD MANOR,MAYO,M,,,BASHFORD MANOR @ MAYO,24 HOURS,METRO,1,  780004044270,
-85.6597992278277,38.1562320099155,34,MPW009873,SIG009873,FERN VALLEY,SHEPHERDSVILLE,S,KY-2052,1.21,FERN VALLEY @ SHEPHERDSVILLE,24 HOURS,KYTC,1,2,
-85.5711200603714,38.182862316433,35,MPW014972,SIG014972,BILLTOWN,MICHAELE,S,KY-1819,8.36,BILLTOWN @ MICHAELE,24 HOURS,KYTC,1,  863401887588,
-85.5493802222876,38.1505166001256,36,MPW015978,SIG015978,BILLTOWN,GELLHAUS,S,KY-1819,5.53,BILLTOWN @ GELLHAUS,24 HOURS,KYTC,1, 1051401882506,
-85.6051131617135,38.1689650832479,37,MPW012965,SIG012965,BARDSTOWN,HURSTBOURNE,S,US-31E,7.25,BARDSTOWN @ HURSTBOURNE,24 HOURS,KYTC,1, 1141203849126,
-85.5849691245223,38.1452010351556,38,MPW014147,SIG014147,BARDSTOWN,BROOKRIDGE VILLAGE,S,US-31E,5.18,BARDSTOWN @ BROOKRIDGE VILLAGE,24 HOURS,KYTC,1, 115450384D372,
-85.5858674320906,38.1470594895695,39,MPW014096,SIG014096,BARDSTOWN,CEDARLOOK,S,US-31E,5.33,BARDSTOWN @ CEDARLOOK,24 HOURS,KYTC,1, 1157403841459,
-85.5634571224705,38.1955623197198,40,MPW015440,SIG015440,OLD TAYLORSVILLE,SHELBY,JT,,,OLD TAYLORSVILLE @ SHELBY,24 HOURS,JEFFERSONTOWN,1, 1169648495935,
-85.7529046036859,38.2143941378131,41,MPW005886,SIG005886,UNIVERSITY,I 65 RAMP,S,I-65,0.241,UNIVERSITY @ I 65 RAMP,24 HOURS,KYTC,1,12154F2719998,
-85.6992171859861,38.2773437750726,42,MPW008014,SIG008014,ZORN,RIVER,M,,,ZORN @ RIVER,24 HOURS,METRO,1, 1216875538199,
-85.7799503199803,38.2578034140667,43,MPW004434,SIG004434,18TH,MARKET,S,US 31W,20.554,18TH @ MARKET,24 HOURS,KYTC,1, 1267418834214,
-85.7766340692924,38.2574336471018,44,MPW004668,SIG004668,MARKET,16TH,S,US 31W,20.735,MARKET @ 16TH,24 HOURS,KYTC,1, 1269742146007,
-85.7249427082433,38.2573199285237,45,MPW007051,SIG007051,ADAMS,STORY,S,US-42,0.455,ADAMS @ STORY,24 HOURS,KYTC,1, 1273200166183,
-85.7942644941208,38.2552059385663,46,MPW003520,SIG003520,26TH,MUHAMMAD ALI,M,,,26TH @ MUHAMMAD ALI,24 HOURS,METRO,1, 1277965847012,
-85.7657056357764,38.2428136772813,47,MPW005334,SIG005334,BRECKINRIDGE,8TH,M,,,BRECKINRIDGE @ 8TH,24 HOURS,METRO,1, 1318106581885,
-85.7640537517823,38.2426490390335,48,MPW005436,SIG005436,BRECKINRIDGE,7TH,M,,,BRECKINRIDGE @ 7TH,24 HOURS,METRO,1, 1319506585899,
-85.7563255268881,38.2385738040112,49,MPW005792,SIG005792,KENTUCKY,2ND,S,KY-1020,11.595,KENTUCKY @ 2ND,24 HOURS,KYTC,1, 1331035325872,
-85.8071834109446,38.2373681935814,50,MPW002849,SIG002849,DUMESNIL,32ND,M,,,DUMESNIL @ 32ND,24 HOURS,METRO,1, 1332616986456,
-85.7867792757615,38.2374134825534,51,MPW003972,SIG003972,DIXIE,OAK,M,,,DIXIE @ OAK,24 HOURS,METRO,1, 1333716124719,
-85.8005338851046,38.2367760887052,52,MPW003124,SIG003124,DUMESNIL,28TH,M,,,DUMESNIL @ 28TH,24 HOURS,METRO,1, 1335416986570,
-85.7783665997293,38.2366507187665,53,MPW004512,SIG004512,15TH,OAK,M,,,15TH @ OAK,24 HOURS,METRO,1, 1336922044719,
-85.7512679079657,38.2364761672482,54,MPW006004,SIG006004,FLOYD,ST CATHERINE,M,,,FLOYD @ ST CATHERINE,24 HOURS,METRO,1, 1339222545785,
-85.7399645017136,38.2332137323448,55,MPW006493,SIG006493,LOGAN,OAK,S,KY-864,14.615,LOGAN @ OAK,24 HOURS,KYTC,1, 1352039214718,
-85.7573872197556,38.2325578935826,56,MPW005748,SIG005748,ORMSBY,2ND,S,KY-1020,11.172,ORMSBY @ 2ND,24 HOURS,KYTC,1, 1353748035872,
-85.761357133168,38.2291565034938,57,MPW005560,SIG005560,4TH,MAGNOLIA,M,,,4TH @ MAGNOLIA,24 HOURS,METRO,1, 1365723054130,
-85.7904851422796,38.2283030908344,58,MPW003747,SIG003747,DIXIE,HILL,M,,,DIXIE @ HILL,24 HOURS,METRO,1, 1367216122934,
-85.7569469729526,38.2254763748391,59,MPW005761,SIG005761,1ST,HILL,M,,,1ST @ HILL,24 HOURS,METRO,1, 1377622232933,
-85.6964901374712,38.2257173691626,60,MPW008105,SIG008105,BARDSTOWN,BOULEVARD NAPOLEON,S,US-31E,13.799,BARDSTOWN @ BOULEVARD NAPOLEON,24 HOURS,KYTC,1, 1379703840617,
-85.7621413157004,38.2246997840974,61,MPW005520,SIG005520,4TH,GAULBERT,M,,,4TH @ GAULBERT,24 HOURS,METRO,1, 1380523052499,
-85.7067929587732,38.225100414635,62,MPW007660,SIG007660,NORRIS,SPEED,M,,,NORRIS @ SPEED,24 HOURS,METRO,1, 1382445916082,
-85.7301583402794,38.2239891343307,63,MPW006866,SIG006866,EASTERN,GOSS,S,US-60,5.522,EASTERN @ GOSS,24 HOURS,KYTC,1, 1385718352592,
-85.7757424532828,38.221167128061,64,MPW004673,SIG004673,INDUSTRY,7TH,M,,,INDUSTRY @ 7TH,24 HOURS,METRO,1, 1396631615899,
-85.7628323889305,38.2207499410401,65,MPW005480,SIG005480,4TH,CARDINAL,M,,,4TH @ CARDINAL,24 HOURS,METRO,1, 1398423053344,
-85.7774031425097,38.220086217813,66,MPW004565,SIG004565,ALGONQUIN,7TH,S,KY-2054,2.519,ALGONQUIN @ 7TH,24 HOURS,KYTC,1, 1401800615899,
-85.8179721092264,38.2154415187368,67,MPW002319,SIG002319,CAMP GROUND,MILLERS,S,KY-1934,10.12,CAMP GROUND @ MILLERS,24 HOURS,KYTC,1, 1413709254388,
-85.7230693922333,38.2140126765415,68,MPW007082,SIG007082,MCKINLEY,AUDUBON PLAZA,S,KY-864,12.901,MCKINLEY @ AUDUBON PLAZA,24 HOURS,KYTC,1, 1424842928241,
-85.7644323546392,38.2116419202207,69,MPW005360,SIG005360,4TH,MONTANA,M,,,4TH @ MONTANA,24 HOURS,METRO,1, 1434023054437,
-85.7646653601857,38.2103376203237,70,MPW005350,SIG005350,4TH,WINKLER,S,US-60,3.072,4TH @ WINKLER,24 HOURS,KYTC,1, 1440423057237,
-85.7507179094324,38.2029359152605,71,MPW005992,SIG005992,CENTRAL,CRITTENDEN,S,KY-1631,1.038,CENTRAL @ CRITTENDEN,24 HOURS,KYTC,1, 1473210411342,
-85.5184542082173,38.2435080588319,72,MPW016924,SIG016924,AIKEN,SHELBYVILLE,S,US-60,11.2,AIKEN @ SHELBYVILLE,24 HOURS,KYTC,1,   31800325940,
-85.488321480259,38.2389019348276,73,MPW017372,SIG017372,SHELBYVILLE,BECKLEY STATION,S,US-60,12.9,SHELBYVILLE @ BECKLEY STATION,24 HOURS,KYTC,1,   49459409983,
-85.5061093647524,38.2970244992681,74,MPW017116,SIG017116,LA GRANGE,WESTPORT,S,KY-1447,9.24,LA GRANGE @ WESTPORT,24 HOURS,KYTC,1,   92637077132,
-85.6356817045868,38.2804341087629,75,MPW011345,SIG011345,BROWNSBORO,I 264 RAMP,S,US-42,5.8,BROWNSBORO @ I 264 RAMP,24 HOURS,KYTC,1,  127507249995,
-85.6462567062653,38.2211065259763,76,MPW010680,SIG010680,FURMAN,I 264 RAMP,S,KY-155,14.44,FURMAN @ I 264 RAMP,24 HOURS,KYTC,1,  128323499995,
-85.6621749288088,38.2534504367295,77,MPW009839,SIG009839,BAUER,MASONIC HOME,S,US-60,3.185,BAUER @ MASONIC HOME,24 HOURS,KYTC,1,  252604157657,
-85.6525612557404,38.2526675455118,78,MPW010357,SIG010357,SHELBYVILLE,WILLIS,S,US-60,3.7,SHELBYVILLE @ WILLIS,24 HOURS,KYTC,1,  256359407199,
-85.6608984174179,38.2516989453523,79,MPW009914,SIG009914,BAUER,LEXINGTON,S,US-60,10.339,BAUER @ LEXINGTON,24 HOURS,KYTC,1,  257604153838,
-85.5749935487793,38.2865844025158,80,MPW014742,SIG014742,WESTPORT RD,WESTPORT CIR,S,KY-1447,5.1,WESTPORT RD @ WESTPORT CIR,24 HOURS,KYTC,1,  181871327354,
-85.6454639699993,38.2742194952183,81,MPW010785,SIG010785,BLANKENBAKER,BROWNSBORO,S,US-42,5.15,BLANKENBAKER @ BROWNSBORO,24 HOURS,KYTC,1,  203305490724,
-85.6699335137392,38.2647603889657,82,MPW009415,SIG009415,BROWNSBORO,COUNTRY,S,US-42,3.66,BROWNSBORO @ COUNTRY,24 HOURS,KYTC,1,  221407241300,
-85.6413792007958,38.2601394720214,83,MPW011019,SIG011019,HUBBARDS,WESTPORT,S,KY-1447,0.93,HUBBARDS @ WESTPORT,24 HOURS,KYTC,1,  230130077132,
-85.5401665546061,38.246580498205,84,MPW000218,SIG000218,SHELBYVILLE,MADISON,S,US-60,9.68,SHELBYVILLE @ MADISON,24 HOURS,KYTC,1,  274059409985,
-85.5815372083472,38.2202808493589,85,MPW014418,SIG014418,HURSTBOURNE,I 64 RAMP,S,KY-1747,11.68,HURSTBOURNE @ I 64 RAMP,24 HOURS,KYTC,1,  319391269997,
-85.6644820934022,38.2029254605165,86,MPW009633,SIG009633,BARDSTOWN,BASHFORD MANOR,S,US-31E,11.343,BARDSTOWN @ BASHFORD MANOR,24 HOURS,KYTC,1,  373503840404,
-85.6251048255161,38.1976097020095,87,MPW011795,SIG011795,BRECKENRIDGE,SIX MILE,S,KY-1932,1.13,BRECKENRIDGE @ SIX MILE,24 HOURS,KYTC,1,  391606566005,
-85.541709180243,38.2993227177694,88,MPW016311,SIG016311,CHAMBERLAIN,WESTPORT,S,KY-1447,7.04,CHAMBERLAIN @ WESTPORT,24 HOURS,KYTC,1,  418910537132,
-85.578874013549,38.2676441713653,89,MPW014610,SIG014610,NEW LA GRANGE,WHIPPS MILL,S,KY-146,3.96,NEW LA GRANGE @ WHIPPS MILL,24 HOURS,KYTC,1,  445646257158,
-85.6380516441212,38.2784701730473,90,MPW011230,SIG011230,BROWNSBORO,RUDY,S,US-42,5.65,BROWNSBORO @ RUDY,24 HOURS,KYTC,1,  459107245655,
-85.6353062270067,38.2414721443236,91,MPW011333,SIG011333,BROWNS,KRESGE,M,,,BROWNS @ KRESGE,24 HOURS,METRO,1,  466607234084,
