X,Y,OBJECTID,SIFCODE1,SIFCODE2,INTID,SCCAD_ID,FST_INTPRE,FST_INTNAME,FST_INTSUF,SEC_INTPRE,SEC_INTNAME,SEC_INTSUF,X_COORD,Y_COORD,FST_SIFID,SEC_SIFID,GLOBALID
-85.5104438408495,38.2058866080932,1,5464,7662,     154647662,1, ,REHL,RD,W,REHL,CT,1278243,259531.9375,4976,6856,{CD0D9D51-41FB-46FF-B229-AC9C0DDB7E61}
-85.5281688285298,38.2003756125524,2,5464,6551,     254646551,2, ,REHL,RD, ,TUCKER STATION,RD,1273126.375,257588.25,4976,5908,{A9FAED81-F7AE-436F-A657-F95FE1B905E8}
-85.5284187233516,38.2003603490571,3,5464,6551,     354646551,3, ,REHL,RD, ,TUCKER STATION,RD,1273050.50875001,257590.85375001,4976,5908,{71155AF3-3487-4EDA-8B72-B282378DE7F3}
-85.5049541455467,38.2226034405515,4,3194,9996,     431949996,4, ,I 64 EAST, , ,I 265 RAMP, ,1279903.25,265597.5,3076,8763,{AD332CAB-27B0-48B7-ACBF-5CDEEC31654B}
-85.5055464281567,38.2221272887276,5,9349,9996,     593499996,5, ,I 265 NORTH, , ,I 265 RAMP, ,1279730.75,265426.4375,8197,8763,{0FE38BAB-8B39-4BE8-BA57-1DAA46FDD4BC}
-85.5005849192481,38.2224599743297,6,3194,9997,     631949997,6, ,I 64 EAST, , ,I 64 RAMP, ,1281157.625,265528.1875,3076,8764,{E32B596D-0EEE-4CC4-AFE7-34DEB4171272}
-85.5058678678184,38.2187711507476,7,9349,9997,     793499997,7, ,I 265 NORTH, , ,I 64 RAMP, ,1279621.75,264205.625,8197,8764,{89E9DFCE-1938-477C-AD9A-919976226228}
-85.5107810600406,38.2227914286311,8,3194,9996,     831949996,8, ,I 64 EAST, , ,I 265 RAMP, ,1278230.375,265688.8125,3076,8763,{B60AD168-B6AA-4140-9DD3-B5F61D540753}
-85.5061175227984,38.2188151513602,9,9953,9996,     999539996,9, ,I 265 SOUTH, , ,I 265 RAMP, ,1279550.25,264222.625,8723,8763,{14E2BF27-872F-4543-A2B2-C1EFF31CEDD2}
-85.5062743014147,38.2226481154609,10,3194,9997,    1031949997,10, ,I 64 EAST, , ,I 64 RAMP, ,1279524.25,265618.9375,3076,8764,{FE40C488-2676-4508-95CA-65CD7C79D573}
-85.5058010138206,38.2221034385713,11,9953,9997,    1199539997,11, ,I 265 SOUTH, , ,I 64 RAMP, ,1279657.5,265418.75,8723,8764,{8885103B-791C-49D5-9CF8-44509281097C}
-85.4839657674848,38.2144230030449,12,8689,9929,    1286899929,12, ,DOMINICK MICHAEL,DR,S,ENGLISH STATION,RD,1285892.375,262537.28125,7631,8704,{58AE9D5D-92ED-4203-BCBC-18DC4F9DF1C1}
-85.4879400436971,38.2130467548267,13,8689,D412,    138689D412,13, ,DOMINICK MICHAEL,DR, ,CALVARY,CT,1284743.875,262051.46875,7631,10427,{FEE296B0-09E4-401B-B121-B1279C315C84}
-85.4849453243706,38.2079572283897,14,5464,9929,    1454649929,14, ,REHL,RD,S,ENGLISH STATION,RD,1285579.39,260186.66374999,4976,8704,{D87C6BEF-9EF9-412A-85AE-D1F2BA029336}
-85.4904113332916,38.2048111573217,15,5464,6064,    1554646064,15, ,REHL,RD,S,POPE LICK,RD,1283993.5,259062.1875,4976,5483,{20B842A5-1257-49E6-BD19-35CAFDC8AAD9}
-85.4673860546444,38.2110376789197,16,1851,8526,    1618518526,16, ,ECHO,TRL, ,FLOYDSVIEW,PL,1290639.25,261241.1875,1838,7500,{A8408A98-F067-481E-A7E6-7330B951C8CE}
-85.477283620404,38.1991283756895,17,1851,9929,    1718519929,17, ,ECHO,TRL,S,ENGLISH STATION,RD,1287737.86750001,256942.3775,1838,8704,{3DAC791B-53D2-4261-B40B-DD8128787B9A}
-85.4933064691653,38.2210978127031,18,7718,9929,    1877189929,18, ,OXFORD STATION,LN,S,ENGLISH STATION,RD,1283241.70999999,265003.875,6909,8704,{E6560031-9FBF-455B-8964-478869B4A126}
-85.4921676595663,38.2181284496209,19,5122,9929,    2051229929,20, ,POPLAR,LN,S,ENGLISH STATION,RD,1283554.26375,263918.22375,4696,8704,{4527F340-3BFE-4AE4-921A-CAB5A9E7B05F}
-85.5034486018582,38.2173492632232,20,5122,7720,    2151227720,21, ,POPLAR,LN, ,OLD POPLAR,LN,1280309.6875,263678.405,4696,6911,{3DE37AF3-105D-44D0-B6F0-FF9B4D8B8A73}
-85.4779918616994,38.2187244831627,21,7178,9984,    2271789984,22, ,WIBBLE HILL,RD,S,BECKLEY STATION,RD,1287632.375,264079.25,6457,8752,{F95F7045-DA73-441E-A598-7D35BB1ABF93}
-85.4845792715792,38.2156271890177,22,7178,9929,    2371789929,23, ,WIBBLE HILL,RD,S,ENGLISH STATION,RD,1285722,262978.125,6457,8704,{8AE630B7-9C3F-4509-BB5D-76E59E0067F4}
-85.5051030448148,38.2267390933416,23,9349,9996,    2493499996,24, ,I 265 NORTH, , ,I 265 RAMP, ,1279881,267104,8197,8763,{279A0EAA-7CAD-4989-975E-09C85520E730}
-85.5005358507994,38.2227188206923,24,9954,9996,    2599549996,25, ,I 64 WEST, , ,I 265 RAMP, ,1281173,265622.25,8724,8763,{D755CE8C-2C5C-4821-BF39-CD714B047762}
-85.5054302156215,38.2234352476429,25,9349,9997,    2693499997,26, ,I 265 NORTH, , ,I 64 RAMP, ,1279770.625,265902.25,8197,8764,{E373AA94-0C92-48D3-B541-97874CB30363}
-85.5047582771067,38.2228525349612,26,9954,9997,    2799549997,27, ,I 64 WEST, , ,I 64 RAMP, ,1279960.75,265687.43625,8724,8764,{FA6A309A-7D2E-4A7F-BB6B-5983E986DE77}
-85.5070984088874,38.2717073773862,27,9063,D019,    289063D019,28, ,NELSON MILLER,PKY, ,EASTPOINT,PKY,1279525.25,283487.4375,7957,10073,{48688DB1-51E4-4C2A-9A41-A57DD418FF43}
-85.5053841256247,38.2715901632655,28,9893,D019,    299893D019,29, ,WILLIAMSON,CT, ,EASTPOINT,PKY,1280022.875,283436.78125,8670,10073,{9EAB19D6-9137-41B1-8AE8-0A69E0699AA7}
-85.506747051082,38.2689224924676,29,9063,9700,    3090639700,30, ,NELSON MILLER,PKY, ,MAGISTERIAL,DR,1279614.875,282465.59375,7957,8496,{7262146C-DBE4-4473-8DC4-E1B2FA09EC9F}
-85.4768319152743,38.2687779585517,30,0032,9983,    3200329983,32, ,AIKEN,RD,N,BECKLEY STATION,RD,1288205.49875,282302.3125,30,8751,{9597A15C-82F0-46B4-9C20-1C45A434A082}
-85.4737249381806,38.2675600059868,31,0032,9877,    3300329877,33, ,AIKEN,RD, ,FOREST POINTE,LN,1289091.29625,281845.76875,30,8655,{1FDACD32-3918-4897-AE27-30CE4472195B}
-85.4874098758179,38.2616306727268,32,8641,8985,    3586418985,35, ,ARNOLD PALMER,BLVD, ,CLEARLAKE,PL,1285133.87625,279740.375,7588,7883,{C79474BE-62B2-42C3-88E8-775213F8CA02}
-85.4907014167279,38.260663577058,33,2024,9846,    4020249846,40, ,ISLEWORTH,CT, ,ISLEWORTH,DR,1284184.125,279400.9375,2026,8627,{C67406AE-13B4-45AE-9518-BEEF96A1F20A}
-85.4872034856465,38.260377221453,34,8641,8986,    4386418986,43, ,ARNOLD PALMER,BLVD, ,ASHGROVE,PL,1285187,279283.15625,7588,7884,{107D22A5-E2F2-4156-A3F4-CAEF6EF95B14}
-85.4932378054827,38.2603250808303,35,9854,9868,    4598549868,45, ,WINDING CREEK,PL, ,TREELINE,CT,1283454.25,279287.5,8635,8647,{C5E1E90E-6175-454E-B18B-0C2E29ECEFE4}
-85.4961790961107,38.2598358005109,36,0032,8987,    4800328987,48, ,AIKEN,RD, ,OAKHURST,RD,1282607.375,279120.75,30,12316,{968000AE-484F-4517-AD60-52911FF7FC03}
-85.4956334076343,38.2592425083378,37,8987,9917,    4989879917,49, ,OAKHURST,RD, ,HIDDEN HILL,CT,1282761.125,278902.59375,12316,8692,{ECAF486B-8B90-4BEA-801D-88FBDB022264}
-85.4934728146716,38.259124526045,38,9854,9866,    5098549866,50, ,WINDING CREEK,PL, ,WINDING CREEK,CT,1283380.875,278851.25,8635,8645,{3BB5E955-0A6D-46B3-9EB8-EC6FA68C2A1D}
-85.4915938020353,38.2591018613418,39,8987,9846,    5289879846,52, ,OAKHURST,RD, ,ISLEWORTH,DR,1283920.25,278835.71875,12316,8627,{83B362B4-357E-492B-8248-16B411F392AD}
-85.4871310433038,38.2597794775909,40,8641,8987,    5386418987,53, ,ARNOLD PALMER,BLVD, ,OAKHURST,RD,1285204.875,279065.21875,7588,12316,{B293187F-DEB3-4660-904C-CCAB7E375CEE}
-85.4814917475668,38.2587585907653,41,8990,8991,    5689908991,56, ,GOLDEN LEAF,WAY, ,GOLDEN LEAF,PL,1286818.99875,278671.78125,7887,7888,{B589DC40-F586-4B8E-8808-80460E7A1AA8}
-85.4828897940264,38.2587217525887,42,8991,8992,    5789918992,57, ,GOLDEN LEAF,PL, ,WOOD THRUSH,TRCE,1286417.5,278666.4375,7888,7889,{EE0914E4-9553-4F66-A5EE-E4A153FCADDD}
-85.4923572424899,38.258632115786,43,8987,9847,    6089879847,60, ,OAKHURST,RD, ,GLENLAKE,WAY,1283698.75,278667.625,12316,8628,{B1DA7D01-4563-4388-931D-F3BCBEDBE0B3}
-85.4947908886311,38.2584507850873,44,8987,9867,    6189879867,61, ,OAKHURST,RD, ,LAKE BLUFF,CIR,1282999.125,278611.03125,12316,8646,{05846888-CCE4-4D8C-874E-D9E6AA477244}
-85.4930068045954,38.2583010613769,45,8987,9867,    6289879867,62, ,OAKHURST,RD, ,LAKE BLUFF,CIR,1283510.625,278549.59375,12316,8646,{19CED462-EB8F-4D4C-AA44-8A905A3A48B8}
-85.4934959639539,38.2581881502021,46,8987,9854,    6389879854,63, ,OAKHURST,RD, ,WINDING CREEK,PL,1283369.625,278510.375,12316,8635,{F3519A7E-B71F-44ED-9066-AC89431B975C}
-85.48679982058,38.2591461123228,47,8641,8988,    6486418988,64, ,ARNOLD PALMER,BLVD, ,CHAMPION WOODS,PL,1285296.875,278833.3125,7588,7885,{01CE708D-71A8-4607-B119-322D2BB62B24}
-85.4787710146101,38.2579642069516,48,8989,8990,    6689898990,66, ,FOREST OAKS,DR, ,GOLDEN LEAF,WAY,1287599,278373.09375,7886,7887,{44F1331B-665E-4676-9176-8DAAD11F9BDC}
-85.4780085455396,38.257945384387,49,8989,9072,    6889899072,68, ,FOREST OAKS,DR, ,MAJESTIC WOODS,PL,1287815.125,278362.3125,7886,7966,{DD4C676D-DEA8-420C-9CBC-E39218CA9F5F}
